url,img,name,price,body_part,weather_condition,gender
https://www.boyner.com.tr/selma-cilek-bluz-956808,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002581180_100_01.jpg,Selma Çilek Kurvaze Poplin Beyaz Bluz,279.95,Top,Thin,Female
https://www.boyner.com.tr/faik-sonmez-bluz-1333441,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002959524_403_01.jpg,Faik Sönmez İndigo Kadın Bluz U65565,899.95,Top,Thin,Female
https://www.boyner.com.tr/mavi-gomlek-1133582,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002809853_102_01.jpg,Mavi 121927-26829 Boyfriend Düz Koyu Natürel Kadın Gömlek,159.99,Top,Thin,Female
https://www.boyner.com.tr/house-of-camellia-bluz-126868,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000094117_001_01.jpg,House Of Camellia V Yaka Dar Fit Siyah Kadın Bluz,89.99,Top,Thin,Female
https://www.boyner.com.tr/faik-sonmez-gomlek-1146164,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002886591_650_01.jpg,Faik Sönmez U64668     Pembe Kadın Gömlek,494.96,Top,Thin,Female
https://www.boyner.com.tr/house-of-camellia-bluz-827926,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000354234_001_01.jpg,House Of Camellia HOC598 Siyah Kadın Bluz,69.99,Top,Thin,Female
https://www.boyner.com.tr/black-on-black-x-aae-t-shirt-1055459,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002737503_001_23.jpg,BLACK ON BLACK X AAE Bisiklet Yaka Geniş Fit Baskılı Siyah Kadın T-Shirt,69.95,Top,Thin,Female
https://www.boyner.com.tr/national-geographic-t-shirt-966278,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002571479_001_01.jpg,National Geographic W-Superior Bisiklet Yaka  Standart Kalıp Baskılı Siyah Kadın T-Shirt,139.95,Top,Thin,Female
https://www.boyner.com.tr/pierre-cardin-t-shirt-1077616,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002785367_020_36.jpg,Pierre Cardin Bisiklet Yaka Desenli Gri Kadın T-Shirt BARTOS,299.95,Top,Thin,Female
https://www.boyner.com.tr/people-by-fabrika-t-shirt-1135143,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002888405_100_01.jpg,People By Fabrika PFKSS22TS0055 Bisiklet Yaka Regular Fit Baskılı Beyaz Kadın T-Shirt,179.95,Top,Thin,Female
https://www.boyner.com.tr/luokk-t-shirt-1127542,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002870430_100_01.jpg,Luokk Julian V Yaka  Rahat Kalıp Düz Beyaz Kadın T-Shirt,159.90,Top,Thin,Female
https://www.boyner.com.tr/people-by-fabrika-t-shirt-1124716,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002868130_001_01.jpg,People By Fabrika PFKSS22TS0025 Bisiklet Yaka Regular Fit Baskılı Siyah Kadın T-Shirt,109.99,Top,Thin,Female
https://www.boyner.com.tr/ngstyle-t-shirt-1132870,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002867482_100_01.jpg,NGSTYLE T-Shirt,179.95,Top,Thin,Female
https://www.boyner.com.tr/puma-t-shirt-1061239,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002732159_600_01.jpg,Puma 52018234 Run Favorite Heather Tee O Yaka Normal Kırmızı Kadın T-Shirt,324.94,Top,Thin,Female
https://www.boyner.com.tr/karl-lagerfeld-bisiklet-yaka--baskili-ekru-kadin-t-shirt-225w1701-p-1363454,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002964452_276_01.jpg,KARL LAGERFELD Bisiklet Yaka   Baskılı Ekru Kadın T-Shirt 225W1701,2299.00,Top,Thin,Female
https://www.boyner.com.tr/hummel-t-shirt-1158536,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002916237_1210_01.jpg,Hummel GRENADA Kırık Beyaz Kadın T-Shirt 911581-9003,214.95,Top,Thin,Female
https://www.boyner.com.tr/reebok-t-shirt-1101800,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002819063_001_01.jpg,Reebok Gr9469 Wor Comm Poly Tee Solid Bisiklet Yaka Normal Kalıp Düz Siyah Kadın T-Shirt,169.00,Top,Thin,Female
https://www.boyner.com.tr/national-geographic-atlet-1302313,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002822351_305_01.jpg,National Geographic U Yaka Düz Haki Kadın Atlet C-W-RIGA,349.99,Top,Thin,Female
https://www.boyner.com.tr/elidor-x-boyner-atlet-1152360,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002904989_650_01.jpg,Elidor x Boyner Bisiklet Yaka Basic Düz Pembe Kadın Atlet LATISA,109.95,Top,Thin,Female
https://www.boyner.com.tr/limon-t-shirt-1051516,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002715910_276_01.jpg,Limon  Ekru  Kadın T-Shirt,39.95,Top,Thin,Female
https://www.boyner.com.tr/armani-exchange-t-shirt-1152349,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002904641_100_01.jpg,Armani Exchange Bisiklet Yaka Beyaz Kadın T-Shirt 8NYT70-1000,999.00,Top,Thin,Female
https://www.boyner.com.tr/koton-t-shirt-1103784,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002824101_100_01.jpg,Koton 2SAK50068EK Yuvarlak Yaka Kısa Kollu  Normal Kalıp  Beyaz Kadın T-Shirt,589.00,Top,Thin,Female
https://www.boyner.com.tr/faik-sonmez-t-shirt-1026941,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002710709_001_01.jpg,Faik Sönmez V Yaka  Normal Kalıp  Siyah Kadın T-Shirt  -  B00001,299.95,Top,Thin,Female
https://www.boyner.com.tr/sherin-atlet-1130648,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002886867_700_01.jpg,Sherin SWA2034 Kare Yaka Dar Kalıp Yumuşak Dokulu Sarı Kadın Atlet,74.90,Top,Thin,Female
https://www.boyner.com.tr/aeropostale-t-shirt-1117273,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002801551_032_01.jpg,Aeropostale Bisiklet Yaka Standart Kalıp Gri Melanj Kadın T-Shirt - K-5733,231.96,Top,Thin,Female
https://www.boyner.com.tr/tommy-jeans-t-shirt-1290282,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002918505_100_01.jpg,Tommy Jeans V Yaka Beyaz Kadın T-Shirt DW0DW13691YBL BEYAZ T-SHIRT,679.00,Top,Thin,Female
https://www.boyner.com.tr/aeropostale-t-shirt-1156252,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002826590_100_01.jpg,Aeropostale V Yaka Baskılı Beyaz Kadın T-Shirt K-4412_22,129.99,Top,Thin,Female
https://www.boyner.com.tr/only-t-shirt-125917,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000093205_001_01.jpg,Only Siyah Kadın T-Shirt 15106514,760.00,Top,Thin,Female
https://www.boyner.com.tr/koton-atlet-1141971,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002824962_650_01.jpg,Koton 2YAL38070IK Yuvarlak Yaka NormalKalıp Pembe Kadın Atlet,94.95,Top,Thin,Female
https://www.boyner.com.tr/faik-sonmez-t-shirt-1144994,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002886577_001_01.jpg,Faik Sönmez U64495 V Yaka    Siyah Kadın T-Shirt,459.95,Top,Thin,Female
https://www.boyner.com.tr/koton-t-shirt-1128468,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002824780_020_01.jpg,Koton 2YAK13130EK Yuvarlak Yaka Kısa Kollu  Normal Kalıp  Gri Kadın T-Shirt,209.95,Top,Thin,Female
